time,gen_mw,ms_temp,ms_pressure
2021-06-17 12:37:24.641787,318.609375,484.62854,93.1943359
2021-06-17 12:37:32.037333,318.773438,484.62854,93.1943359
2021-06-17 12:37:42.296642,319.710938,484.62854,93.1943359
2021-06-17 12:37:49.306007,319.898438,484.62854,93.1943359
2021-06-17 12:37:56.258311,319.710938,484.62854,93.1943359
2021-06-17 12:38:03.079800,320.085938,484.62854,93.953125
2021-06-17 12:38:10.054066,320.3672,484.62854,93.953125
2021-06-17 12:38:16.966198,320.039063,484.62854,93.953125
2021-06-17 12:38:26.855006,321.0703,484.62854,93.953125
2021-06-17 12:38:33.648085,321.0703,484.62854,93.953125
2021-06-17 12:38:40.573387,320.6953,484.62854,93.953125
2021-06-17 12:38:47.353817,320.5078,484.62854,93.953125
2021-06-17 12:38:54.016747,320.1328,484.62854,93.953125
2021-06-17 12:39:01.287969,319.7578,484.62854,93.953125
2021-06-17 12:39:08.252884,321.421875,484.186737,94.26758
2021-06-17 12:39:15.150946,321.9375,484.186737,94.26758
2021-06-17 12:39:22.141675,322.125,484.186737,94.26758
2021-06-17 12:39:28.888649,322.640625,484.186737,94.26758
2021-06-17 12:39:35.875409,323.203125,484.186737,94.26758
2021-06-17 12:39:42.897566,323.25,484.186737,94.26758
2021-06-17 12:39:50.504459,323.296875,484.186737,94.26758
2021-06-17 12:39:58.008604,324.8203,484.186737,94.26758
2021-06-17 12:40:05.279283,325.0547,483.461731,95.56641
2021-06-17 12:40:12.934206,325.0078,483.461731,95.56641
2021-06-17 12:40:19.911648,325.5703,483.461731,95.56641
2021-06-17 12:40:26.797468,325.8047,483.461731,95.56641
2021-06-17 12:40:34.284868,325.3828,483.461731,95.56641
2021-06-17 12:40:41.173965,325.2422,483.461731,95.56641
2021-06-17 12:40:48.384859,324.539063,483.461731,95.56641
2021-06-17 12:40:55.767887,324.1172,483.461731,95.56641
2021-06-17 12:41:02.915401,323.789063,482.057037,95.4707
2021-06-17 12:41:09.940897,323.34375,482.057037,95.4707
2021-06-17 12:41:17.542249,321.65625,482.057037,95.4707
2021-06-17 12:41:24.297815,321.0703,482.057037,95.4707
2021-06-17 12:41:31.716633,320.976563,482.057037,95.4707
2021-06-17 12:41:38.454778,319.1953,482.057037,95.4707
2021-06-17 12:41:45.292245,318.960938,482.057037,95.4707
2021-06-17 12:41:51.960822,317.671875,482.057037,95.4707
2021-06-17 12:41:58.779943,316.0547,482.057037,95.4707
2021-06-17 12:42:05.812424,315.351563,480.799622,95.94238
2021-06-17 12:42:15.854074,314.273438,480.799622,95.94238
2021-06-17 12:42:22.719090,312.890625,480.799622,95.94238
2021-06-17 12:42:29.536636,312.140625,480.799622,95.94238
2021-06-17 12:42:37.468709,310.476563,480.799622,95.94238
2021-06-17 12:42:44.402266,310.0078,480.799622,95.94238
2021-06-17 12:42:51.292531,309.539063,480.799622,95.94238
2021-06-17 12:42:59.565000,308.4375,480.799622,95.94238
2021-06-17 12:43:06.351762,308.25,480.0633,97.8564453
2021-06-17 12:43:13.647275,304.5703,480.0633,97.8564453
2021-06-17 12:43:20.909322,303.8203,480.0633,97.8564453
2021-06-17 12:43:27.731124,303.4922,480.0633,97.8564453
2021-06-17 12:43:34.568016,302.15625,480.0633,97.8564453
2021-06-17 12:43:41.228481,302.0625,480.0633,97.8564453
2021-06-17 12:43:48.129208,301.359375,480.0633,97.8564453
2021-06-17 12:43:55.119452,301.40625,480.0633,97.8564453
2021-06-17 12:44:01.969773,300.984375,479.7914,100.173828
