time,mw,ms_press_left,ms_temp,rpm,react_pwr,,,,,,
6/17/2021 7:47,195.89,86.994,438,2998,20.45,,,,,,
6/17/2021 7:48,198.54,87.179,439,2998,19.1,,,,,,
6/17/2021 7:49,198.26,87.979,440,2998,19.01,,,,,,
6/17/2021 7:50,198.4,88.156,441,2999,15.26,,,,,,
6/17/2021 7:51,198.63,87.896,441,2999,15.84,,,,,,
6/17/2021 7:52,198.02,87.951,442,2999,16.22,,,,,,
6/17/2021 7:53,196.41,87.575,443,2999,13.44,,,,,,
6/17/2021 7:54,197.7,86.912,443,3000,14.5,,,,,,
6/17/2021 7:55,197.02,87.056,444,3000,11.14,,,,,,
6/17/2021 7:56,196.83,87.11,444,3000,9.5,,,,,,
6/17/2021 7:57,198.45,87.11,444,3000,9.6,,,,,,
6/17/2021 7:58,198.73,87.124,445,3001,10.27,,,,,,
6/17/2021 7:59,199.2,87.534,445,3001,9.6,,,,,,
6/17/2021 8:00,199.71,87.992,445,3000,9.6,,,,,,
6/17/2021 8:01,198.87,88.129,446,3001,6.05,,,,,,
6/17/2021 8:02,198.45,88.402,446,3001,9.6,,,,,,
6/17/2021 8:03,199.34,88.457,446,3002,6.91,,,,,,
6/17/2021 8:04,201.47,88.484,446,3001,6.62,,,,,,
6/17/2021 8:05,202.03,88.184,446,3000,11.04,,,,,,
6/17/2021 8:06,202.99,88.129,446,2998,4.9,,,,,,
6/17/2021 8:07,204.45,88.252,446,2998,8.16,,,,,,
6/17/2021 8:08,203.98,88.614,446,3000,10.18,,,,,,
6/17/2021 8:09,204.26,88.997,446,3000,11.81,,,,,,
6/17/2021 8:10,203.84,88.819,446,2999,15.84,,,,,,
6/17/2021 8:11,203.65,88.956,446,2998,13.54,,,,,,
6/17/2021 8:12,205.31,88.997,446,2998,15.55,,,,,,
6/17/2021 8:13,205.27,89.188,446,3000,15.07,,,,,,
6/17/2021 8:14,206.02,89.879,446,2999,18.53,,,,,,
6/17/2021 8:15,204.54,90.2,446,2999,18.53,,,,,,
6/17/2021 8:16,205.88,90.241,446,2998,16.8,,,,,,
6/17/2021 8:17,205.73,90.405,446,2999,16.13,,,,,,
6/17/2021 8:18,204.82,90.487,446,3000,16.61,,,,,,
6/17/2021 8:19,205.59,90.754,446,2998,16.7,,,,,,
6/17/2021 8:20,204.73,90.904,446,2998,11.42,,,,,,
6/17/2021 8:21,206.06,91.041,446,2998,11.04,,,,,,
6/17/2021 8:22,205.64,91.219,447,3000,14.88,,,,,,
6/17/2021 8:23,205.36,91.314,447,3001,15.17,,,,,,
6/17/2021 8:24,206.77,91.232,447,3002,16.03,,,,,,
6/17/2021 8:25,207.54,91.342,447,3000,16.03,,,,,,
6/17/2021 8:26,208.34,91.704,447,3000,20.54,,,,,,
6/17/2021 8:27,208.15,92.06,447,2999,17.38,,,,,,
6/17/2021 8:28,207.54,92.367,447,2999,20.35,,,,,,
6/17/2021 8:29,206.77,92.695,447,3000,16.51,,,,,,
6/17/2021 8:30,208.66,92.6,447,3000,14.11,,,,,,
6/17/2021 8:31,208.95,92.777,447,3003,14.4,,,,,,
6/17/2021 8:32,209.04,93.208,448,3004,16.13,,,,,,
6/17/2021 8:33,207.73,93.734,448,3005,18.43,,,,,,
6/17/2021 8:34,206.53,93.953,448,3004,19.58,,,,,,
6/17/2021 8:35,207.14,93.427,448,3004,21.79,,,,,,
6/17/2021 8:36,206.67,92.832,448,3004,22.94,,,,,,
6/17/2021 8:37,205.92,92.641,448,3002,24.67,,,,,,
6/17/2021 8:38,206.3,92.408,448,3001,25.25,,,,,,
6/17/2021 8:39,204.91,92.244,448,3001,24.1,,,,,,
6/17/2021 8:40,205.69,91.868,448,3001,25.06,,,,,,
6/17/2021 8:41,206.86,91.355,448,3002,24.29,,,,,,
6/17/2021 8:42,206.81,91.513,448,3004,26.02,,,,,,
6/17/2021 8:43,205.92,91.909,448,3004,26.02,,,,,,
6/17/2021 8:44,205.97,92.012,448,3005,27.84,,,,,,
6/17/2021 8:45,206.44,91.219,448,3005,26.78,,,,,,
6/17/2021 8:46,206.91,91.451,448,3004,27.94,,,,,,
6/17/2021 8:47,206.58,91.69,448,3005,25.82,,,,,,
6/17/2021 8:48,207.54,91.704,448,3004,25.63,,,,,,
6/17/2021 8:49,207.28,91.759,448,3004,28.8,,,,,,
6/17/2021 8:50,206.77,92.299,449,3005,29.28,,,,,,
6/17/2021 8:51,207.33,92.183,449,3002,31.58,,,,,,
6/17/2021 8:52,206.39,91.882,449,3002,29.95,,,,,,
6/17/2021 8:53,206.53,92.128,450,3002,27.94,,,,,,
6/17/2021 8:54,206.53,91.608,450,3002,29.38,,,,,,
6/17/2021 8:55,205.73,91.513,450,3002,28.9,,,,,,
6/17/2021 8:56,206.06,91.178,450,3002,26.5,,,,,,
6/17/2021 8:57,206.39,90.986,450,3003,30.91,,,,,,
6/17/2021 8:58,206.3,90.836,450,3003,28.7,,,,,,
6/17/2021 8:59,206.44,90.918,450,3002,26.4,,,,,,
6/17/2021 9:00,205.92,90.822,450,3001,29.09,,,,,,
6/17/2021 9:01,204.82,90.754,450,3000,30.34,,,,,,
6/17/2021 9:02,205.08,90.597,450,2999,30.43,,,,,,
6/17/2021 9:03,206.53,90.31,450,3000,30.91,,,,,,
6/17/2021 9:04,205.97,90.501,450,3000,31.01,,,,,,
6/17/2021 9:05,204.02,90.863,450,3000,33.7,,,,,,
6/17/2021 9:06,205.45,90.474,450,2998,32.35,,,,,,
6/17/2021 9:07,205.17,90.009,449,2999,30.91,,,,,,
6/17/2021 9:08,205.45,89.961,449,2999,33.41,,,,,,
6/17/2021 9:09,203.79,90.159,449,2999,30.62,,,,,,
6/17/2021 9:10,204.26,89.77,449,2998,29.28,,,,,,
6/17/2021 9:11,204.82,89.011,449,2998,28.99,,,,,,
6/17/2021 9:12,203.93,89.011,449,2999,28.8,,,,,,
6/17/2021 9:13,202.57,88.833,448,3001,32.45,,,,,,
6/17/2021 9:14,201,88.293,448,3001,34.37,,,,,,
6/17/2021 9:15,201.47,87.151,448,2998,36.86,,,,,,
6/17/2021 9:16,203.46,86.529,448,2998,36.48,,,,,,
6/17/2021 9:17,204.68,86.83,448,2999,40.9,,,,,,
6/17/2021 9:18,204.12,87.151,448,2999,40.51,,,,,,
6/17/2021 9:19,205.64,87.315,449,2997,39.17,,,,,,
6/17/2021 9:20,205.5,88.006,449,2997,38.11,,,,,,
6/17/2021 9:21,206.95,88.266,449,3001,36.77,,,,,,
6/17/2021 9:22,206.02,88.847,449,3001,35.81,,,,,,
6/17/2021 9:23,205.22,89.264,449,3001,37.15,,,,,,
6/17/2021 9:24,205.64,89.12,449,3002,35.52,,,,,,
6/17/2021 9:25,205.31,89.079,449,3003,39.07,,,,,,
6/17/2021 9:26,205.17,89.264,449,3002,44.16,,,,,,
6/17/2021 9:27,205.5,89.175,449,3000,44.74,,,,,,
6/17/2021 9:28,205.13,89.264,449,2999,46.85,,,,,,
6/17/2021 9:29,203.74,89.332,449,2996,50.21,,,,,,
6/17/2021 9:30,205.08,89.243,449,2995,50.21,,,,,,
6/17/2021 9:31,205.55,89.161,449,2994,52.42,,,,,,
6/17/2021 9:32,205.92,89.305,449,2994,50.5,,,,,,
6/17/2021 9:33,206.25,89.551,449,2993,52.7,,,,,,
6/17/2021 9:34,206.67,89.646,449,2994,52.7,,,,,,
6/17/2021 9:35,205.45,90.214,449,2993,52.42,,,,,,
6/17/2021 9:36,205.41,90.228,449,2993,53.86,,,,,,
6/17/2021 9:37,206.53,89.879,449,2993,53.28,,,,,,
6/17/2021 9:38,205.5,89.742,449,2992,50.4,,,,,,
6/17/2021 9:39,206.34,89.564,449,2992,53.18,,,,,,
6/17/2021 9:40,206.11,89.291,449,2994,45.98,,,,,,
6/17/2021 9:41,206.48,89.51,449,2995,43.39,,,,,,
6/17/2021 9:42,205.41,90.118,449,2997,43.39,,,,,,
6/17/2021 9:43,205.22,89.995,450,2999,41.28,,,,,,
6/17/2021 9:44,204.63,89.824,450,3001,41.38,,,,,,
6/17/2021 9:45,204.45,89.482,450,3002,40.13,,,,,,
6/17/2021 9:46,203.79,89.51,451,3003,39.07,,,,,,
6/17/2021 9:47,204.02,89.011,451,3001,36.29,,,,,,
6/17/2021 9:48,204.54,88.751,451,3000,36.29,,,,,,
6/17/2021 9:49,204.3,88.942,452,3000,34.46,,,,,,
6/17/2021 9:50,204.63,89.011,452,3000,32.93,,,,,,
6/17/2021 9:51,204.12,88.696,452,3003,33.12,,,,,,
6/17/2021 9:52,204.26,88.498,452,3003,34.37,,,,,,
6/17/2021 9:53,204.59,88.683,452,3003,39.26,,,,,,
6/17/2021 9:54,205.17,88.628,452,3001,26.78,,,,,,
6/17/2021 9:55,205.59,88.402,452,2999,27.74,,,,,,
6/17/2021 9:56,205.97,88.669,452,2998,23.62,,,,,,
6/17/2021 9:57,204.68,89.188,452,2996,23.81,,,,,,
6/17/2021 9:58,204.3,88.806,452,2998,21.98,,,,,,
6/17/2021 9:59,205.08,88.628,452,2998,20.35,,,,,,
6/17/2021 10:00,203.18,88.43,452,2999,22.56,,,,,,
6/17/2021 10:01,203.51,87.951,452,3000,16.9,,,,,,
6/17/2021 10:02,203.74,87.685,452,3000,16.22,,,,,,
6/17/2021 10:03,204.21,87.466,452,3001,19.58,,,,,,
6/17/2021 10:04,204.3,87.548,452,3002,15.65,,,,,,
6/17/2021 10:05,205.17,87.801,452,3001,19.2,,,,,,
6/17/2021 10:06,204.3,87.657,453,3001,18.05,,,,,,
6/17/2021 10:07,204.73,87.589,453,3000,17.66,,,,,,
6/17/2021 10:08,205.31,87.63,453,3001,15.65,,,,,,
6/17/2021 10:09,205.08,88.102,453,3002,16.7,,,,,,
6/17/2021 10:10,204.82,88.389,453,3002,15.55,,,,,,
6/17/2021 10:11,202.76,88.348,453,3000,22.27,,,,,,
6/17/2021 10:12,203.04,88.02,453,3000,15.94,,,,,,
6/17/2021 10:13,202.36,87.657,452,3000,17.38,,,,,,
6/17/2021 10:14,202.17,86.734,452,3000,18.53,,,,,,
6/17/2021 10:15,201.7,86.365,452,2999,17.18,,,,,,
6/17/2021 10:16,201.8,86.167,452,2998,19.49,,,,,,
6/17/2021 10:17,201.75,85.771,453,3002,16.8,,,,,,
6/17/2021 10:18,201.05,85.606,453,3002,16.13,,,,,,
6/17/2021 10:19,201.14,85.244,453,3003,17.28,,,,,,
6/17/2021 10:20,204.4,85.012,453,3002,15.94,,,,,,
6/17/2021 10:21,208.2,85.107,454,3002,16.51,,,,,,
6/17/2021 10:22,212.16,87.179,455,3002,12.96,,,,,,
6/17/2021 10:23,216.19,89.537,456,3003,16.13,,,,,,
6/17/2021 10:24,217.03,92.367,456,3003,18.14,,,,,,
6/17/2021 10:25,220.17,95.04,457,3002,24.86,,,,,,
6/17/2021 10:26,220.17,96.893,457,3001,26.78,,,,,,
6/17/2021 10:27,221.91,98.479,457,2999,26.78,,,,,,
6/17/2021 10:28,222.77,99.682,456,2999,27.84,,,,,,
6/17/2021 10:29,220.59,100.06,456,2998,31.78,,,,,,
6/17/2021 10:30,224.18,99.654,455,2997,32.74,,,,,,
6/17/2021 10:31,229.85,98.793,455,2996,31.01,,,,,,
6/17/2021 10:32,227.84,96.325,454,2995,33.6,,,,,,
6/17/2021 10:33,224.09,92.299,453,2996,30.91,,,,,,
6/17/2021 10:34,214.05,87.855,453,2997,28.22,,,,,,
6/17/2021 10:35,209.37,84.861,452,2998,24.96,,,,,,
6/17/2021 10:36,211.45,83.658,452,3000,23.04,,,,,,
6/17/2021 10:37,214.15,84.116,452,3000,26.88,,,,,,
6/17/2021 10:38,215.39,84.526,452,3001,24,,,,,,
6/17/2021 10:39,217.71,84.998,452,3000,26.98,,,,,,
6/17/2021 10:40,219.45,85.559,453,3000,30.62,,,,,,
6/17/2021 10:41,220.69,86.365,453,2998,28.9,,,,,,
6/17/2021 10:42,219.96,87.035,453,2997,28.7,,,,,,
6/17/2021 10:43,220.64,87.165,454,2999,28.42,,,,,,
6/17/2021 10:44,220.45,87.562,454,3001,26.02,,,,,,
6/17/2021 10:45,219.77,87.767,455,3002,26.11,,,,,,
6/17/2021 10:46,227.34,87.644,456,3001,28.22,,,,,,
6/17/2021 10:47,228.91,87.712,457,3001,27.55,,,,,,
6/17/2021 10:48,230.09,87.507,458,3000,29.28,,,,,,
6/17/2021 10:49,231.38,87.315,459,3000,26.4,,,,,,
6/17/2021 10:50,231.33,87.712,460,3000,21.79,,,,,,
6/17/2021 10:51,230.72,87.534,461,2999,21.31,,,,,,
6/17/2021 10:52,229.62,87.083,461,3000,21.7,,,,,,
6/17/2021 10:53,236.34,87.356,462,3000,15.94,,,,,,
6/17/2021 10:54,234.21,87.274,462,2999,16.03,,,,,,
6/17/2021 10:55,230.86,85.579,462,3000,20.35,,,,,,
6/17/2021 10:56,230.13,83.918,462,3000,17.76,,,,,,
6/17/2021 10:57,226.69,82.995,463,3000,17.66,,,,,,
6/17/2021 10:58,226.45,82.694,463,3000,18.05,,,,,,
6/17/2021 10:59,225.94,82.455,464,3001,20.54,,,,,,
6/17/2021 11:00,225.94,82.277,465,3001,14.69,,,,,,
6/17/2021 11:01,226.97,82.346,466,3001,15.26,,,,,,
6/17/2021 11:02,229.85,82.455,467,3003,16.7,,,,,,
6/17/2021 11:03,231.42,82.845,467,3002,17.95,,,,,,
6/17/2021 11:04,232.8,83.535,468,3001,18.14,,,,,,
6/17/2021 11:05,231.42,84.068,469,3002,19.49,,,,,,
6/17/2021 11:06,231.52,84.212,469,3002,19.78,,,,,,
6/17/2021 11:07,232.08,84.253,469,3002,25.54,,,,,,
6/17/2021 11:08,232.03,84.608,469,3000,25.82,,,,,,
6/17/2021 11:09,231.56,84.458,469,2999,28.61,,,,,,
6/17/2021 11:10,231.23,84.417,469,2998,30.82,,,,,,
6/17/2021 11:11,232.45,84.54,469,2998,30.91,,,,,,
6/17/2021 11:12,233.23,84.889,469,2998,27.84,,,,,,
6/17/2021 11:13,233.41,85.107,470,2998,26.98,,,,,,
6/17/2021 11:14,235.24,85.559,470,2998,26.3,,,,,,
6/17/2021 11:15,238.05,85.976,470,3000,23.04,,,,,,
6/17/2021 11:16,244.2,86.338,471,3000,26.78,,,,,,
6/17/2021 11:17,253.38,86.584,471,3001,23.42,,,,,,
6/17/2021 11:18,263.18,87.035,472,3001,25.15,,,,,,
6/17/2021 11:19,267.89,88.655,473,3003,25.15,,,,,,
6/17/2021 11:20,269.18,88.956,473,3003,23.81,,,,,,
6/17/2021 11:21,270.63,89.12,474,3005,19.3,,,,,,
6/17/2021 11:22,270.7,89.229,474,3006,21.89,,,,,,
6/17/2021 11:23,277.69,88.532,474,3005,26.21,,,,,,
6/17/2021 11:24,281.34,87.91,475,3005,23.33,,,,,,
6/17/2021 11:25,286.78,87.097,475,3006,18.72,,,,,,
6/17/2021 11:26,293.02,86.57,476,3006,19.01,,,,,,
6/17/2021 11:27,296.16,86.953,476,3007,21.12,,,,,,
6/17/2021 11:28,297.47,87.179,477,3008,18.43,,,,,,
6/17/2021 11:29,299.41,87.302,477,3008,17.76,,,,,,
6/17/2021 11:30,299.46,87.233,478,3010,20.83,,,,,,
6/17/2021 11:31,297.84,87.206,478,3009,20.93,,,,,,
6/17/2021 11:32,296.63,86.666,478,3010,22.27,,,,,,
6/17/2021 11:33,296.39,85.989,477,3009,20.54,,,,,,
6/17/2021 11:34,297.52,85.948,477,3009,25.06,,,,,,
6/17/2021 11:35,301.31,86.235,477,3009,25.92,,,,,,
6/17/2021 11:36,297.61,86.816,478,3008,30.05,,,,,,
6/17/2021 11:37,295.34,86.324,477,3007,28.9,,,,,,
6/17/2021 11:38,294.02,85.948,477,3007,29.38,,,,,,
6/17/2021 11:39,291.98,85.606,477,3007,29.57,,,,,,
6/17/2021 11:40,288.54,85.094,476,3007,28.13,,,,,,
6/17/2021 11:41,287.34,84.253,476,3007,31.97,,,,,,
6/17/2021 11:42,286.31,83.918,476,3007,29.57,,,,,,
6/17/2021 11:43,285.59,83.398,476,3008,31.58,,,,,,
6/17/2021 11:44,287.48,83.173,476,3005,33.89,,,,,,
6/17/2021 11:45,289.95,84.212,476,3005,40.42,,,,,,
6/17/2021 11:46,291.47,84.636,476,3004,36.67,,,,,,
